[猎户] --> [Thợ săn] <<>> [猎户] --> [Liệp Hộ] | **3. 猎户 (Liệp Hộ)** (nam, tuổi trung niên, là những người săn bắn, có thể là người dân thường)

[唐嫣然] --> [Đường Yên Nhiên] <<>> [唐嫣然] --> [Đường 嫣 Nhiên] | **20. 唐嫣然 (Đường Yên Nhiên)** là nữ, có thể tuổi trẻ, là nhân vật phụ, là một Cổ Tiên, là thuộc hạ của Bạch Hải Sa Đà.

 [寸山] --> [Thốn sơn] <<>>  [寸山] --> [Thốn Sơn], [寸] --> ["Tích] <<>>  [寸] --> [Thốn] | **7. 黎山仙子 (Lê Sơn Tiên Tử)** là nữ, có thể khoảng 30 tuổi, là một Cổ Tiên cấp bậc 7, có quan hệ với Phương Nguyên, có khả năng chiến đấu mạnh, có Tiên Cổ (Cổ Sư) cấp bậc cao, sở hữu Tiên Cổ Phương (Cổ Phương Tiên) "Phương C寸山" (Phương C寸 Sơn).

[单于雄] --> [Riêng Vu Hùng] <<>> [单于雄] --> [Đan Vu Hùng] | **25. 单于雄 (Đơn Vu Hùng)** là nam, có thể khoảng 30 tuổi, là một Cổ Tiên cấp bậc 7, có khả năng chiến đấu mạnh.

[白蚕子] --> [Bạch Tằm Tử] <<>> [白蚕子] --> [Bạch Tàm Tử] | **27. 白蚕子 (Bạch Tàm Tử)** là nam, có thể khoảng 30 tuổi, là một Cổ Tiên cấp bậc 7, có khả năng chiến đấu mạnh, đã chết.

[墨人城] --> [Thành Mặc Nhân] <<>> [墨人城] --> [Mặc Nhân Thành] | **38.  墨人城 (Mặc Nhân Thành)** là một thành phố lớn, có quan hệ với Mặc Tán Sang.

[北原僵盟] --> [Cương minh Bắc Nguyên] <<>> [北原僵盟] --> [Bắc Nguyên Cương Minh] | **40.  北原僵盟 (Bắc Nguyên Giáp Liên)** là một liên minh của các Tiên Giáp, có quan hệ với Phương Nguyên.

[朱宁] --> [Chu Ninh] <<>> [朱宁] --> [Chu Ninh], [仙道手段] --> [Tiên đạo thủ đoạn] <<>>  [仙道手段] --> [Tiên Đạo Thủ Đoạn], [仙蛊被种在体内] --> [Tiên cổ được trồng trong cơ thể] <<>>  [仙蛊被种在体内] --> [Tiên Cổ Bị Chủng Tại Thể Nội] | **1. 朱宁 (Chu Ninh)** là nam, tuổi trung niên, là trưởng lão của Thiên Đố Lâu, có khả năng sử dụng仙道手段, nhưng仙蛊被种在体内, không thể sử dụng linh hoạt. Có mối quan hệ:

[太上长老] --> [Thái thượng trưởng lão] <<>> [太上长老] --> [Thái Thượng Trường Lão] | * Có mối quan hệ cấp bậc với 太上长老 (Thái Thượng Trưởng Lão) của Thiên Đố Lâu.

[藏经鼋] --> [Tàng Kinh] <<>> [藏经鼋] --> [Tàng Kinh Ngoan] | **11. 藏经鼋 (Tàng Kinh Nguyên)** là một con quái vật khổng lồ, có khả năng chứa đựng nhiều kiến thức.

[荒兽鱼翅狼] --> [Hoang thú vây cá sói] <<>> [荒兽鱼翅狼] --> [Hoang Thú Ngư Sí Lang] | **17. 荒兽鱼翅狼 (Hoang Thú Ngư Chí Lang)** là một con sói hoang dã, được Phương Nguyên thu phục.

 [宙道蛊仙] --> [Cổ tiên Trụ đạo] <<>>  [宙道蛊仙] --> [Trụ Đạo Cổ Tiên] | **21. 太白云生 (Thái Bạch Vân Sinh)** là nam, là một trong những nhân vật chính, là một vị宙道蛊仙 (Châu Đạo Cổ Tiên), có mối quan hệ với Phương Nguyên.

[百八十奴] --> [Trăm tám mươi nô] <<>> [百八十奴] --> [Bách Bát Thập Nô], [奴道宗师] --> [Nô đạo Tông Sư] <<>>  [奴道宗师] --> [Nô Đạo Tông Sư], [御上] --> ["Ngự thượng!"] <<>>  [御上] --> [Ngự Thượng] | **25. 百八十奴 (Bách Bát Thập Nu)** là một vị奴道宗师 (Nu Đạo Tông Sư), nổi tiếng với kỹ thuật御上 (Ngự Thượng).

[玉露仙子] --> [Ngọc Lộ tiên tử] <<>> [玉露仙子] --> [Ngọc Lộ Tiên Tử], [福地] --> [Phúc địa] <<>>  [福地] --> [Phúc Địa], [玉露福地] --> [Phúc địa Ngọc Lộ] <<>>  [玉露福地] --> [Ngọc Lộ Phúc Địa] | **27. 玉露仙子 (Ngọc Lộ Tiên Tử)** là một vị蛊仙, sở hữu福地 (Phúc Địa) - 玉露福地 (Ngọc Lộ Phúc Địa).

[元始仙尊] --> [Nguyên Thủy Tiên Tôn] <<>> [元始仙尊] --> [Nguyên Thủy Tiên Tôn], [九转蛊仙] --> [Cổ tiên cửu chuyển] <<>>  [九转蛊仙] --> [Cửu Chuyển Cổ Tiên], [门派制度] --> [Chế độ môn phái] <<>>  [门派制度] --> [Môn Phái Chế Độ] | **28. 元始仙尊 (Nguyên Thủy Tiên Tôn)** là một vị 九转蛊仙 (Cửu Chuyển Cổ Tiên) trong lịch sử nhân loại, là người đầu tiên sáng tạo ra门派制度 (Môn Phái Chí Độ).

[秦百胜] --> [Tần Bách Thắng] <<>> [秦百胜] --> [Tần Bách Thắng] | **29. 秦百胜 (Tần Bách Thắng)** là một vị蛊仙, từng tấn công琅琊福地 (Lang Nha Phúc Địa).

[鲨魔] --> [Sa Ma] <<>> [鲨魔] --> [Sa Ma] | * Có quan hệ hợp tác với 鲨魔 (Sa Ma) và 太白云生 (Thái Bạch Vân Sinh).

[宙道仙蛊] --> [Tiên cổ Trụ đạo] <<>> [宙道仙蛊] --> [Trụ Đạo Tiên Cổ] | **10.  宙道仙蛊 (Hư Đạo Tiên Cổ)**

[神秘黑袍蛊仙] --> [Cổ tiên áo bào đen thần bí] <<>> [神秘黑袍蛊仙] --> [Thần Bí Hắc Bào Cổ Tiên] | **19.  神秘黑袍蛊仙 (Mỹ Bí Hắc bào Cổ Tiên)**

[李逍遥] --> [Lý Tiêu Dao] <<>> [李逍遥] --> [Lý Tiêu Diêu] | **30.  李逍遥 (Lý Tiêu Dao)**

[地壳蜗牛] --> [ốc sên Địa Xác] <<>> [地壳蜗牛] --> [Địa Xác Oa Ngưu] | **41.  地壳蜗牛 (Địa Khối Ô Nê)**

[鼋姥姥] --> [Mỗ mỗ] <<>> [鼋姥姥] --> [Ngoan Mỗ Mỗ] | **6. 鼋姥姥 (Nguyên Lão Lão)** là nữ, tuổi không được đề cập, là Tiên Giāng cấp bậc Thất Chuyển, có khả năng phòng thủ mạnh mẽ, là một trong những hộ vệ của Phương Nguyên. Có mối quan hệ cấp dưới với Phân Thiên Ma Nữ.

[炎煌雷泽仙僵] --> [Tiên cương Viêm Hoàng Lôi Trạch] <<>> [炎煌雷泽仙僵] --> [Viêm Hoàng Lôi Trạch Tiên Cương] | **13. 炎煌雷泽仙僵 (Diêm Hoang Lôi Trạch Tiên Giáng)** là nam, là nhân vật phụ, là Tiên Giáng 10 tuyệt.

[武斗天王] --> [Vũ Đấu Thiên Vương] <<>> [武斗天王] --> [Vũ Đẩu Thiên Vương] | **46.  (武斗天王 - Võ Đấu Thiên Vương)** là nam, là nhân vật phụ, là Tiên Giáng 8 chuyển.

[重禾子] --> [Trọng Hòa Tử] <<>> [重禾子] --> [Trọng Hòa Tử] | **4. 重禾子 (Trọng Hoà Tử)** là nam, là một魔道蛊仙 (ma đạo cừu tiên), có thể là 6 chuyển.

[孙胖虎] --> [Tôn béo Hổ] <<>> [孙胖虎] --> [Tôn Bàn Hổ] | **23. 孙胖虎 (Tôn Phì Hổ)** là nam, là 5 chuyển cừu sư, là một trong những người đầu tiên gia nhập núi Nghĩa Thiên, trở thành huynh đệ kết nghĩa với Tiêu Sơn.

[蓝眉鹤] --> [Lam Mi Hạc] <<>> [蓝眉鹤] --> [Lam My Hạc] | **27. 蓝眉鹤 (Lam Miêu Hạc)** là nam, là 5 chuyển cừu sư, là một trong những chuyên gia về bay lượn, gia nhập núi Nghĩa Thiên.

[逍遥智心] --> [Tiêu Dao Trí Tâm] <<>> [逍遥智心] --> [Tiêu Diêu Trí Tâm] | **45. 逍遥智心 (Tiêu Dao Trí Tâm)** là nam, là 10 tuyệt tiên cương, là người của Ảnh Tông.

[春秋蝉] --> [Xuân Thu Thiền] <<>> [春秋蝉] --> [Xuân Thu Thiền], [定仙游] --> [Định Tiên Du] <<>>  [定仙游] --> [Định Tiên Du], [我力仙蛊] --> [Tiên cổ Ngã Lực] <<>>  [我力仙蛊] --> [Ngã Lực Tiên Cổ], [拔山仙蛊] --> [tiên cổ Bạt Sơn] <<>>  [拔山仙蛊] --> [Bạt Sơn Tiên Cổ], [铁冠鹰力仙蛊] --> [Tiên cổ Thiết Quan Ưng Lực] <<>>  [铁冠鹰力仙蛊] --> [Thiết Quan Ưng Lực Tiên Cổ], [星芽仙蛊] --> [Tiên cổ Tinh Nha] <<>>  [星芽仙蛊] --> [Tinh Nha Tiên Cổ], [星痕仙蛊] --> [Tiên cổ Tinh Ngân] <<>>  [星痕仙蛊] --> [Tinh Ngân Tiên Cổ], [星光仙蛊] --> [Tiên cổ Tinh Quang] <<>>  [星光仙蛊] --> [Tinh Quang Tiên Cổ], [连运仙蛊] --> [Liên Vận tiên cổ] <<>>  [连运仙蛊] --> [Liên Vận Tiên Cổ], [时运仙蛊] --> [Tiên cổ Thời Vận] <<>>  [时运仙蛊] --> [Thì Vận Tiên Cổ], [妇人心] --> [Phụ nhân tâm] <<>>  [妇人心] --> [Phụ Nhân Tâm], [净魂] --> [Tịnh Hồn] <<>>  [净魂] --> [Tịnh Hồn], [解谜] --> [Giải câu đố] <<>>  [解谜] --> [Giải Mê], [变形仙蛊] --> [Tiên cổ Biến Hình] <<>>  [变形仙蛊] --> [Biến Hình Tiên Cổ] | * Thông tin bổ sung: Sở hữu Cổ Xuân Thiền (春秋蝉), Cổ Định Tiên Du (定仙游), Cổ Nhất Lực (我力仙蛊), Cổ Tri Thức (智慧蛊), Cổ Bạt Sơn (拔山仙蛊), Cổ Vãn Lan (挽澜仙蛊), Cổ Thiết Quan Ưng Lực (铁冠鹰力仙蛊), Cổ Ăn Lực (吃力仙蛊), Cổ Tinh Nha (星芽仙蛊), Cổ Tinh Hân (星痕仙蛊), Cổ Tinh Quang (星光仙蛊), Cổ Liên Vân (连运仙蛊), Cổ Thời Vân (时运仙蛊), Cổ Chiêu Tai (招灾仙蛊), Cổ Phụ Nhân Tâm (妇人心), Cổ Tịnh Hồn (净魂), Cổ Giải Mật (解谜), có khả năng sử dụng các loại Cổ liên quan đến lực đạo, tinh đạo, vận đạo, độc đạo, hồn đạo, trí đạo, vũ đạo. Đã từng luyện chế Cổ Biến Hình (变形仙蛊) nhưng thất bại.

[地灵小狐仙] --> [Địa linh tiểu hồ tiên] <<>> [地灵小狐仙] --> [Địa Linh Tiểu Hồ Tiên] | **2. 地灵小狐仙 (Địa Linh Tiểu Hồ Tiên)** là nữ, tuổi trẻ, là linh hồn của Hư Tiên Phúc Địa (狐仙福地), là người hầu của Phương Nguyên.

[仙蛊屋炼炉] --> [Tiên cổ phòng luyện lô] <<>> [仙蛊屋炼炉] --> [Tiên Cổ Ốc Luyện Lô] | * Thông tin bổ sung: Có khả năng luyện chế Cổ, sở hữu Cổ Lò (仙蛊屋炼炉), có mối quan hệ không tốt với Phương Nguyên do Phương Nguyên thường xuyên xin hỗ trợ.

[态度蛊] --> [Thái Độ cổ] <<>> [态度蛊] --> [Thái Độ Cổ], [奴隶仙蛊] --> [Tiên cổ Nô lệ] <<>>  [奴隶仙蛊] --> [Nô Lệ Tiên Cổ] | * Thông tin bổ sung: Sở hữu Cổ Thái Độ (态度蛊), Cổ Nô Lệ (奴隶仙蛊), có mối quan hệ phức tạp với Phương Nguyên, từng là đồng minh, sau đó trở thành đối thủ.

 [师兄] --> ["Sư huynh!"] <<>>  [师兄] --> [Sư Huynh] | **7. 太白云生 (Thái Bạch Vân Sinh)** là nam, có thể khoảng 20-30 tuổi, là một Cổ Tiên (蛊仙), có khả năng liên quan đến lực đạo, là sư huynh (师兄) của Phương Nguyên.

[江山如故] --> [Giang sơn như cũ] <<>> [江山如故] --> [Giang Sơn Như Cố] | * Thông tin bổ sung: Sở hữu Cổ Giang Sơn Như Cố (江山如故), có mối quan hệ đồng minh với Phương Nguyên.

[宋夏麒] --> [Tống Hạ Kỳ] <<>> [宋夏麒] --> [Tống Hạ Kì] | **27. 宋夏麒 (Tống Hạ Kỳ)**

[若来归一] --> [Nếu đến Quy Nhất] <<>> [若来归一] --> [Nhược Lai Quy Nhất] | **29. 若来归一 (Nhược Lai Quy Nhất)**

 [若来家] --> [Nếu như đến nhà...] <<>>  [若来家] --> [Nhược Lai Gia] | Là nam, là một vị tiên (蛊仙), có lẽ là một nhân vật có địa vị cao trong gia tộc Nhược Lai (若来家).

[羽民蛊仙周中] --> [Cổ tiên Vũ Dân Chu Trung] <<>> [羽民蛊仙周中] --> [Vũ Dân Cổ Tiên Chu Trung] | **33. 羽民蛊仙周中 (Vũ Dân C trùng Tiên Chu Trung)**

[神不知] --> [Thần không biết] <<>> [神不知] --> [Thần Bất Tri] | - Là người đã thu được Thần bất tri (神不知).

 [智道蛊仙] --> [Cổ tiên Trí đạo] <<>>  [智道蛊仙] --> [Trí Đạo Cổ Tiên] | **1. 方源 (Phương Nguyên)** là nam, không rõ tuổi, là nhân vật chính trong câu chuyện, là một智道蛊仙 (Trí đạo Cổ tiên), có tài năng xuất chúng, thông minh, mưu lược, có tham vọng lớn.

[凤九歌] --> [Phượng Cửu Ca] <<>> [凤九歌] --> [Phượng Cửu Ca], [高层] --> [Cao tầng] <<>>  [高层] --> [Cao Tằng] | **2. 凤九歌 (Phượng Cửu Ca)** là nam, không rõ tuổi, là một nhân vật phụ, có thể là một高层 (Cao tầng) trong灵缘斋 (Linh Duyên Trai), có quyền lực nhất định.

[徐浩] --> [Từ Hạo] <<>> [徐浩] --> [Từ Hạo] | **3. 徐浩 (Tề Hạo)** là nam, không rõ tuổi, là một nhân vật phụ, có thể là một高层 (Cao tầng) trong灵缘斋 (Linh Duyên Trai).

[李君影] --> [Lý Quân Ảnh] <<>> [李君影] --> [Lý Quân Ảnh] | **4. 李君影 (Lý Quân Ảnh)** là nam, không rõ tuổi, là một nhân vật phụ, có thể là một高层 (Cao tầng) trong灵缘斋 (Linh Duyên Trai).

[白晴仙子] --> [Bạch Tình tiên tử] <<>> [白晴仙子] --> [Bạch Tình Tiên Tử] | **6. 白晴仙子 (Bạch Tình Tiên tử)** là nữ, không rõ tuổi, là một nhân vật phụ, có thể là một高层 (Cao tầng) trong灵缘斋 (Linh Duyên Trai).

[东方长凡] --> [Đông Phương Trường Phàm] <<>> [东方长凡] --> [Đông Phương Trường Phàm], [智道宗师] --> [Tông sư Trí đạo] <<>>  [智道宗师] --> [Trí Đạo Tông Sư] | **10. 东方长凡 (Đông Phương Trường Phàm)** là nam, không rõ tuổi, có thể là một nhân vật lịch sử, là một智道宗师 (Trí đạo Tông sư).

 [监天塔] --> [Tháp Giám Thiên] <<>>  [监天塔] --> [Giam Thiên Tháp] | **12. 监天塔主 (Giám Thiên Tháp chủ)** là nam, không rõ tuổi, là một nhân vật phụ, là một智道蛊仙 (Trí đạo Cổ tiên), là người đứng đầu của监天塔 (Giám Thiên Tháp).

[冰瀑神猿] --> [Băng Bộc Thần Viên] <<>> [冰瀑神猿] --> [Băng Bộc Thần Viên], [上古荒兽] --> [hoang thú thượng cổ] <<>>  [上古荒兽] --> [Thượng Cổ Hoang Thú] | **18. 冰瀑神猿 (Băng Bạc Thần Tuyên)** là một上古荒兽 (Thượng Cổ Hoang Thú), một loài động vật hoang dã cổ đại.

[雪泥鳄] --> [Cá sấu tuyết nê] <<>> [雪泥鳄] --> [Tuyết Nê Ngạc] | **19. 雪泥鳄 (Tuyết Nêi Ngoạc)** là một上古荒兽 (Thượng Cổ Hoang Thú), một loài động vật hoang dã cổ đại.

 [大雪山福地] --> [Phúc địa Đại Tuyết Sơn] <<>>  [大雪山福地] --> [Đại Tuyết Sơn Phúc Địa] | **27. 黎山仙子 (Lê Sơn Tiên tử)** là nữ, không rõ tuổi, là một nhân vật phụ, là một trong những người đứng đầu của大雪山福地 (Đại Tuyết Sơn Phúc Địa).

[义天山] --> [Núi Nghĩa Thiên] <<>> [义天山] --> [Nghĩa Thiên Sơn] | * Thông tin bổ sung: Xuất hiện trong trận chiến tại义天山 (Nghĩa Thiên Sơn), có mối quan hệ với砚石老人 (Nghiên Thạch Lão nhân).

[余木蠢] --> [Dư Mộc Xuẩn] <<>> [余木蠢] --> [Dư Mộc Xuẩn], [毛民炼道蛊仙] --> [Cổ tiên Luyện đạo Người Lông] <<>>  [毛民炼道蛊仙] --> [Mao Dân Luyện Đạo Cổ Tiên] | **37. 余木蠢 (Dư Mộc Chẩn)** là nam, không rõ tuổi, là một nhân vật phụ, là một毛民炼道蛊仙 (Mao Dân Luyện Đạo Cổ tiên).

[萧山] --> [Tiêu Sơn] <<>> [萧山] --> [Tiêu Sơn], [义天寨] --> [Trại Nghĩa Thiên] <<>>  [义天寨] --> [Nghĩa Thiên Trại] | **49. 萧山 (Tiêu Sơn)** là nam, không rõ tuổi, là một nhân vật phụ, là một魔道蛊仙 (Ma Đạo Cổ tiên), là người đứng đầu của义天寨 (Nghĩa Thiên Trai).

[周星星] --> [Chu Tinh Tinh] <<>> [周星星] --> [Chu Tinh Tinh] | **50. 周星星 (Chu Tinh Tinh)** là nam, không rõ tuổi, là một nhân vật phụ, là một魔道蛊仙 (Ma Đạo Cổ tiên), là một trong những người đứng đầu của义天寨 (Nghĩa Thiên Trai).

[影无邪] --> [Ảnh Vô Tà] <<>> [影无邪] --> [Ảnh Vô Tà], [十绝体] --> [Thập Tuyệt Thể] <<>>  [十绝体] --> [Thập Tuyệt Thể] | **58. 影无邪 (Ảnh Vô Tà)** là nam, khoảng 6 tuổi, là một nhân vật phụ, là十绝体 (Thập Tuyệt Thể) do砚石老人 (Nghiên Thạch Lão nhân) tạo ra.

[古月方源] --> [Cổ Nguyệt Phương Nguyên] <<>> [古月方源] --> [Cổ Nguyệt Phương Nguyên] | **59. 古月方源 (Cổ Nguyệt Phương Nguyên)** là tên gọi khác của Phương Nguyên, được nhắc đến bởi监天塔主 (Giám Thiên Tháp chủ).

[天外之魔] --> [Thiên Ngoại Chi Ma] <<>> [天外之魔] --> [Thiên Ngoại Chi Ma], [操纵惊鸿乱斗台] --> [Thao túng Kinh Hồng Loạn Đấu Đài] <<>>  [操纵惊鸿乱斗台] --> [Thao Túng Kinh Hồng Loạn Đẩu Thai], [梦道凡蛊] --> [Phàm cổ Mộng đạo] <<>>  [梦道凡蛊] --> [Mộng Đạo Phàm Cổ] | * Thông tin bổ sung:  Là một  天外之魔 (Thiên Ngoại Chi Ma), có khả năng  操纵惊鸿乱斗台 (Thao Túng Kinh Hồng Loạn Đấu Đài), có nhiều  梦道凡蛊 (Mộng Đạo Phàm Cổ).

 [天庭] --> [Thiên Đình] <<>>  [天庭] --> [Thiên Đình], [催发宿命仙蛊] --> [Thôi phát tiên cổ Số Mệnh] <<>>  [催发宿命仙蛊] --> [Thôi Phát Túc Mệnh Tiên Cổ] | **2. 监天塔主 (Giám Thiên Tháp Chủ)** là nam, tuổi trung niên hoặc cao tuổi, là một trong những nhân vật chính, là  蛊仙 (Cổ Tiên) của  天庭 (Thiên Đình), có khả năng  催发宿命仙蛊 (Tùy Phát Túc Mệnh Tiên Cổ).

 [碧晨天] --> [Bích Thần Thiên] <<>>  [碧晨天] --> [Bích Thần Thiên] | * Thông tin bổ sung: Là người đứng đầu  监天塔 (Giám Thiên Tháp), có mối quan hệ phức tạp với  碧晨天 (Bích Thần Thiên) và  炼九生 (Liễn Cửu Sinh).

[七星子] --> [Thất Tinh Tử] <<>> [七星子] --> [Thất Tinh Tử], [僵尸] --> [Cương thi] <<>>  [僵尸] --> [Cương Thi], [影宗] --> [Ảnh tông] <<>>  [影宗] --> [Ảnh Tông], [操纵仙蛊屋] --> [Thao túng tiên cổ phòng] <<>>  [操纵仙蛊屋] --> [Thao Túng Tiên Cổ Ốc] | **4. 七星子 (Thất Tinh Tử)** là nam, dường như là  僵尸 (Xương Si), tuổi trung niên, là  蛊仙 (Cổ Tiên) của  影宗 (Ảnh Tông), có khả năng  操纵仙蛊屋 (Thao Túng Tiên Cổ Ốc).

[薄青] --> [Bạc Thanh] <<>> [薄青] --> [Bạc Thanh], [催动剑道杀招] --> [Thúc giục sát chiêu kiếm đạo] <<>>  [催动剑道杀招] --> [Thôi Động Kiếm Đạo Sát Chiêu] | **5. 薄青 (Bạc Thanh)** là nam,  僵尸 (Xương Si), tuổi trung niên, là  蛊仙 (Cổ Tiên) của  影宗 (Ảnh Tông), có khả năng  催动剑道杀招 (Tùy Động Kiếm Đạo Sát Chiêu).

[内奸] --> [Nội gian] <<>> [内奸] --> [Nội Gian] | * Thông tin bổ sung: Bị nghi ngờ là  内奸 (Nội Gian) của  影宗 (Ảnh Tông), có mối quan hệ với  监天塔主 (Giám Thiên Tháp Chủ) và  炼九生 (Liễn Cửu Sinh).

[星宿仙尊] --> [Tinh Túc Tiên Tôn] <<>> [星宿仙尊] --> [Tinh Túc Tiên Tôn], [抚琴] --> [Đánh đàn] <<>>  [抚琴] --> [Phủ Cầm] | **8. 星宿仙尊 (Tinh Tú Tiên Tôn)** là nữ, đã chết, là  蛊仙 (Cổ Tiên) của  天庭 (Thiên Đình), có khả năng  抚琴 (Phủ cầm).

 [惊鸿乱斗台] --> [Kinh Hồng Loạn Đấu Đài] <<>>  [惊鸿乱斗台] --> [Kinh Hồng Loạn Đẩu Thai] | * Thông tin bổ sung: Có mối quan hệ với  监天塔 (Giám Thiên Tháp), có thể là người đã từng sở hữu  惊鸿乱斗台 (Kinh Hồng Loạn Đấu Đài).

 [催动仙元] --> [Thúc giục tiên nguyên] <<>>  [催动仙元] --> [Thôi Động Tiên Nguyên] | **9. 巨阳仙尊 (Cự Dương Tiên Tôn)** là nam, đã chết, là  蛊仙 (Cổ Tiên), có khả năng  催动仙元 (Tùy Động Tiên Nguyên).

[其他天庭蛊仙] --> [Cổ tiên Thiên Đình khác] <<>> [其他天庭蛊仙] --> [Kỳ Tha Thiên Đình Cổ Tiên] | **26.  其他天庭蛊仙 (Khác Thiên Đình Cổ Tiên)** là những  蛊仙 (Cổ Tiên) của  天庭 (Thiên Đình), có vai trò hỗ trợ  监天塔主 (Giám Thiên Tháp Chủ).

[蛊仙大荔] --> [Cổ tiên Đại Trụ] <<>> [蛊仙大荔] --> [Cổ Tiên Đại 荔] | **21. 蛊仙大荔 (Cổ Tiên Đại Lệ)** là nam, tuổi tác không rõ (có thể trung niên), là một trong những thành viên của Ảnh Tông, có thân phận là Bát Chuyển Đại Lực Chân Võ Tiên Giāng (Tám Chuyển Đại Lực Chân Võ Tiên Giāng), bị đối thủ sử dụng "Cổ Tiên Ô" (Cổ Tiên Ô) để trấn áp.

[中洲蛊仙] --> [Cổ tiên Trung Châu] <<>> [中洲蛊仙] --> [Trung Châu Cổ Tiên] | **30. 中洲蛊仙 (Trung Châu Cổ Tiên)** là một nhóm người, là đối thủ của Ảnh Tông.

[柴不拆] --> [Sài không dỡ] <<>> [柴不拆] --> [Sài Bất Sách] | **31. 柴不拆 (Trài Bất Tiếp)** là nam, tuổi tác không rõ (có thể trung niên), là một trong những thành viên của Nam Giang Chai Gia (Nam Giang Trài Gia), có liên quan đến "Vạn Gia Tân Hỏa" (Vạn Gia Tân Hỏa), có mối quan hệ với Đông Phương Ung Kê (Đông Phương Ung Kê).

[火崆峒] --> [Hỏa Không Động] <<>> [火崆峒] --> [Hỏa Không Đồng] | **32. 火崆峒 (Hỏa Khổng Đồng)** là nam, tuổi tác không rõ (có thể trung niên), là khách khanh của Nam Giang Chai Gia, có liên quan đến Trài Bất Tiếp.

[东海蛊仙] --> [Cổ tiên Đông Hải] <<>> [东海蛊仙] --> [Đông Hải Cổ Tiên] | **33. 东海蛊仙 (Đông Hải Cổ Tiên)** là một nhóm người, có liên quan đến Bắc Nguyên Cổ Tiên.

[南疆蛊仙] --> [Cổ tiên Nam Cương] <<>> [南疆蛊仙] --> [Nam Cương Cổ Tiên] | **34. 南疆蛊仙 (Nam Giang Cổ Tiên)** là một nhóm người, có liên quan đến Bắc Nguyên Cổ Tiên.

[倪家族长] --> [Nghê gia tộc trưởng] <<>> [倪家族长] --> [Nghê Gia Tộc Trường], [泥相] --> [Nê tướng] <<>>  [泥相] --> [Nê Tương] | **4. 倪家族长 (Tộc trưởng tộc Nê)** là nam, tuổi trung niên, là người nắm giữ Đạo Nê (泥相), bị ép buộc sử dụng Đạo Nê để giải đáp thắc mắc cho Phương Nguyên, sau đó bị Phương Nguyên giết chết cùng toàn bộ tộc nhân.

[萧芒] --> [Tiêu Mang] <<>> [萧芒] --> [Tiêu Mang], [太光蛊] --> [Cổ Thái Quang] <<>>  [太光蛊] --> [Thái Quang Cổ] | **14. 萧芒 (Tiêu Mang)** là nam, có thể là tuổi trẻ, là một trong những quân cờ của tộc Tiêu, sở hữu Thái Quang Cổ (太光蛊), đã chết.

[上古云兽] --> [Vân thú thượng cổ] <<>> [上古云兽] --> [Thượng Cổ Vân Thú] | **23. 上古云兽 (Thượng Cổ Vân Thú)** là một loại sinh vật hiếm gặp, có khả năng di chuyển qua Ngũ Vực Giới Bích, tấn công Phương Nguyên.

[黑天] --> [Hắc Thiên] <<>> [黑天] --> [Hắc Thiên], [九天] --> [Cửu Thiên] <<>>  [九天] --> [Cửu Thiên] | **25. 黑天 (Hắc Thiên)** là một trong những Cửu Thiên (九天), là nơi Phương Nguyên từng sử dụng Tinh Môn Cổ (星门蛊) để di chuyển qua Ngũ Vực.

[黑毛国主] --> [Quốc chủ Hắc Mao] <<>> [黑毛国主] --> [Hắc Mao Quốc Chủ] | **7. 黑毛国主 (Hắc Mao Quốc Chủ)** là nam, là quốc chủ của Hắc Mao Đại Lục, có tham vọng, muốn tìm kiếm nhân tài.

[话锋城主] --> [Thành chủ Thoại Phong] <<>> [话锋城主] --> [Thoại Phong Thành Chủ] | **9. 话锋城主 (Hoá Phong Thành Chủ)** là nam, là Thành Chủ của Hoá Phong Thành, có tính cách mưu mô.

[刘家蛊仙] --> [Cổ tiên Lưu gia] <<>> [刘家蛊仙] --> [Lưu Gia Cổ Tiên] | * **刘家蛊仙 (Lưu Gia Cổ Côn)** là một gia tộc Cổ Côn, có mâu thuẫn với Trữ Độ.

[魔尊幽魂] --> [U Hồn Ma Tôn] <<>> [魔尊幽魂] --> [Ma Tôn U Hồn] | **6. 魔尊幽魂 (Ma Tôn U Linh)** là nam, đã chết, là chủ nhân của Ảnh Vô Tà, là một trong những nhân vật phản diện mạnh nhất trong câu chuyện, có tài năng võ công, trí tuệ cao, tính cách tàn bạo, tham vọng.

[大先生] --> [Đại tiên sinh] <<>> [大先生] --> [Đại Tiên Sanh] | **32.  大先生 (Đại Tiên Sinh)** là nam, có thể tuổi trung niên, là một trong những nhân vật phụ của câu chuyện, là một trong những cường giả của Ma Đạo, có tài năng võ công, tính cách mưu mô, gian xảo.

[黑毛国国王] --> [Quốc vương Hắc Mao quốc] <<>> [黑毛国国王] --> [Hắc Mao Quốc Quốc Vương] | **12. 黑毛国国王 (Hắc Mao Quốc Quốc Vương)** là nam, tuổi tác không rõ, là vua của tộc Mao Dân, có âm mưu hãm hại Phương Chính.

[千蛇阴嬛树] --> [Thiên Xà Âm triện thụ] <<>> [千蛇阴嬛树] --> [Thiên Xà Âm Huyên Thụ] | **3. 千蛇阴嬛树 (Thiên Xà Âm Hoàn Thụ)** là một loại thực vật cổ đại, có sức sống mãnh liệt.

